header_lang,TextBlob_lang,guess1_lang,guess2_lang,error_T/F,site
en,ru,en,ru,False,http://0-0-3.ru
null,null,null,null,True,http://0-05.ru
null,null,null,null,True,http://0-11.ru
null,ru,ru,ru,False,http://0-d.ru
null,null,null,null,True,http://0-icq.ru
null,null,null,null,True,http://0-podarki.ru
null,null,null,null,True,http://0-room.ru
null,null,null,null,True,http://00-00-00.ru
null,null,null,null,True,http://00-00.net
null,null,null,null,True,http://000-shop.ru
null,null,null,null,True,http://00000000000.ru
null,ru,ru,ru,False,http://000webhost.ru
en,en,en,en,False,http://000y.ru
null,ru,ru,ru,False,http://001s.ru
en,en,en,en,False,http://00200.ru
null,ru,ru,ru,False,http://003-pc.ru
null,null,null,null,True,http://00300.ru
null,null,null,null,True,http://0058.ru
uk-UK,uk,uk-UK,uk,False,http://007time.ru
ru,ru,ru,ru,False,http://0091.ru
null,null,null,null,True,http://00gay.ru
null,null,null,null,True,http://00i.ru
null,zh-CN,zh-CN,zh-CN,False,http://01-games.com
null,null,null,null,True,http://01-market.ru
ru,ru,ru,ru,False,http://0116.ru
ru-RU,ru,ru-RU,ru,False,http://0150.ru
null,null,null,null,True,http://0155.ru
null,null,null,null,True,http://01anewcom.ru
null,ru,ru,ru,False,http://01games.ru
null,null,null,null,True,http://01iq.ru
ru,ru,ru,ru,False,http://01it.ru
null,null,null,null,True,http://01motor.ru
null,null,null,null,True,http://01taxi.ru
ru,null,ru,ru,False,http://01u.ru
en,ru,en,ru,False,http://0200.ru
ru,ru,ru,ru,False,http://024krk.ru
null,ru,ru,ru,False,http://0280.ru
null,null,null,null,True,http://02chess.ru
null,null,null,null,True,http://02f.ru
null,null,null,null,True,http://02info.ru
null,null,null,null,True,http://02on.ru
null,null,null,null,True,http://02rosfirm.ru
ru-RU,ru,ru-RU,ru,False,http://02sport.ru
null,null,null,null,True,http://03-03.ru
en,ru,en,ru,False,http://03g.ru
null,en,en,en,False,http://03grb.ru
null,ru,ru,ru,False,http://03on.ru
en,en,en,en,False,http://03w.ru
en,en,en,en,False,http://03y.ru
null,null,null,null,True,http://03zub.ru
en,ru,en,ru,False,http://0400.ru
null,null,null,null,True,http://04ki.ru
ru,ru,ru,ru,False,http://04r.ru
null,null,null,null,True,http://04w.ru
null,null,null,null,True,http://0510.ru
null,null,null,null,True,http://0530.ru
null,null,null,null,True,http://0577.ru
null,es,es,es,False,http://0585.ru
null,null,null,null,True,http://05avto.ru
null,null,null,null,True,http://05icq.ru
null,null,null,null,True,http://05life.ru
null,null,null,null,True,http://05love.ru
null,null,null,null,True,http://05on.ru
en,ru,en,ru,False,http://05p.ru
null,ru,ru,ru,False,http://05studio.ru
null,null,null,null,True,http://060504.ru
null,null,null,null,True,http://0624.ru
null,null,null,null,True,http://0654.ru
null,null,null,null,True,http://06on.ru
en,ru,en,ru,False,http://06v.ru
null,null,null,null,True,http://0702.ru
null,null,null,null,True,http://0720.ru
null,null,null,null,True,http://0752.ru
null,en,en,en,False,http://07v.ru
null,null,null,null,True,http://08023.ru
null,ru,ru,ru,False,http://0809.ru
null,null,null,null,True,http://086.su
en,en,en,en,False,http://0866.ru
null,null,null,null,True,http://0872.ru
null,null,null,null,True,http://0877.ru
null,null,null,null,True,http://08880.ru
null,null,null,null,True,http://08on.ru
null,null,null,null,True,http://08u.ru
en,en,en,en,False,http://0901.ru
ru,ru,ru,ru,False,http://0932.ru
null,null,null,null,True,http://095soft.ru
en,ru,en,ru,False,http://0971212.ru
null,null,null,null,True,http://09b.ru
null,null,null,null,True,http://09dom.ru
null,null,null,null,True,http://09on.ru
null,null,null,null,True,http://09p.ru
null,null,null,null,True,http://09ua.ru
ru-RU,en,ru-RU,en,False,http://0a4.ru
null,null,null,null,True,http://0a9.ru
ru,ru,ru,ru,False,http://0b0.ru
null,null,null,null,True,http://0b2.ru
null,null,null,null,True,http://0b3.ru
null,null,null,null,True,http://0bar.ru
ru,ru,ru,ru,False,http://0be.ru
en,ru,en,ru,False,http://0bn.ru
uk,uk,uk,uk,False,http://ariev.info
uk,uk,uk,uk,False,http://blogs.informator.news
en-US,en,en-US,en,False,http://bruegel.org
null,ru,ru,ru,False,http://ccity.ru
null,ru,ru,ru,False,http://central-yard2.ru
null,null,null,null,True,http://company-crysis.org.ua
uk,uk,uk,uk,False,http://dmytrolubinets.dn.ua
ru,ru,ru,ru,False,http://ecovidnoe2.ru
null,null,null,null,True,http://games-in-groups.org.ua
null,null,null,null,True,http://green-cape.com.ua
ru-RU,ru,ru-RU,ru,False,http://dnepr.web2ua.com
ru-RU,ru,ru-RU,ru,False,http://ukraine.web2ua.com
ru-RU,ru,ru-RU,ru,False,http://hvylya.net
en,en,en,en,False,http://hvylya.org
uk,uk,uk,uk,False,http://identigraf.center
null,null,null,null,True,http://kinobot.ru
ru,ru,ru,ru,False,http://kleinhouse.ru
ru-RU,ru,ru-RU,ru,False,http://korolevska.com.ua
uk,uk,uk,uk,False,http://leopolis.news
ru,ru,ru,ru,False,http://lime-dom.ru
uk,uk,uk,uk,False,http://lviv.web2ua.com
null,en,en,en,False,http://mediananny.com
null,null,null,null,True,http://motoremont.com
null,null,null,null,True,http://myestate.org.ua
null,null,null,null,True,http://myrotvorets.center
null,uk,uk,uk,False,http://nfront.org.ua
ru-RU,ru,ru-RU,ru,False,http://odessa.web2ua.com
null,ru,ru,ru,False,http://p-sky.ru
null,null,null,null,True,http://persona.top
ru-RU,ru,ru-RU,ru,False,http://politeka.net
ru-RU,ru,ru-RU,ru,False,http://politnavigator.net
ru,ru,ru,ru,False,http://presnya.city
uk,uk,uk,uk,False,http://prolviv.com
null,ru,ru,ru,False,http://sales-doc.org.ua
null,null,null,null,True,http://sales-up.org.ua
null,ru,ru,ru,False,http://smartis.bi
ru,ru,ru,ru,False,http://steelbay.ru
en,en,en,en,False,http://tatyanapetrukha.blogspot.com
null,ru,ru,ru,False,http://tema.in.ua
en-US,en,en-US,en,False,http://travibot.com
null,ru,ru,ru,False,http://tribeca-aparts.ru
null,ru,ru,ru,False,http://tribeca-office.ru
null,uk,uk,uk,False,http://turchynov.com
en-US,en,en-US,en,False,http://uacrisis.org
en-US,en,en-US,en,False,http://ucmc.org.ua
null,en,en,en,False,http://varianty.net
null,null,null,null,True,http://vezha.vn.ua
ru-RU,ru,ru-RU,ru,False,http://web2ua.com
ru,ru,ru,ru,False,http://www.anapamoredom.ru
en-US,en,en-US,en,False,http://www.bruegel.org
null,ru,ru,ru,False,http://www.ccity.ru
null,null,null,null,True,http://www.company-crysis.org.ua
null,null,null,null,True,http://www.games-in-groups.org.ua
en,en,en,en,False,http://www.hvylya.org
uk,uk,uk,uk,False,http://www.informator.news
uk,uk,uk,uk,False,http://www.informator.su
null,null,null,null,True,http://www.motoremont.com
null,null,null,null,True,http://www.myestate.org.ua
ru,ru,ru,ru,False,http://www.obozrevatel.com
ru,ru,ru,ru,False,http://www.phantomy.ru
ru-RU,ru,ru-RU,ru,False,http://www.politnavigator.net
null,null,null,null,True,http://www.rdc.net.ua
null,ru,ru,ru,False,http://www.sales-doc.org.ua
null,null,null,null,True,http://www.sales-up.org.ua
ru,ru,ru,ru,False,http://zemanapa.ru
uk,uk,uk,uk,False,http://zolochiv.net
